Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2022-23,Oregon,Pac-12,FR,35,4,15.8,2.4,5.3,.457,2.0,3.7,.534,0.4,1.6,.273,1.3,1.9,.712,1.0,3.1,4.1,0.5,0.4,1.3,0.8,1.0,6.6,,9.50
2023-24,Indiana,Big Ten,SO,30,30,32.2,6.3,10.7,.586,5.7,9.4,.609,0.6,1.3,.425,2.8,4.5,.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,15.9,,9.74
Career,Overall,,,65,34,23.3,4.2,7.8,.538,3.7,6.3,.585,0.5,1.5,.337,2.0,3.1,.660,1.5,5.2,6.7,1.0,0.5,1.6,1.1,1.5,10.9,,9.62
