Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,Paris,LNB Pro A,fr,7,8.0,0.3,0.6,.500,0.0,0.1,.000,0.3,0.4,.667,0.0,0.0,,0.0,0.4,0.4,0.1,0.1,0.1,0.4,0.4,0.6
2022-23,Ulm,EuroCup,eu,1,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2023-24,Ulm,EuroCup,eu,18,14.9,2.3,5.2,.452,0.8,2.5,.311,1.6,2.7,.583,1.0,1.4,.720,0.6,1.0,1.6,0.3,0.6,0.2,0.9,1.6,6.4
3 Seasons,,,,26,12.6,1.7,3.8,.449,0.5,1.8,.304,1.2,2.0,.577,0.7,1.0,.720,0.4,0.8,1.2,0.3,0.5,0.2,0.7,1.3,4.6
