Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Loyola (MD),Patriot,FR,23,9,28.0,3.5,7.1,.491,1.7,3.0,.565,1.8,4.1,.436,1.3,1.5,.857,0.6,2.8,3.4,3.1,0.3,0.0,0.8,1.7,10.0,,-7.23
2020-21,Loyola (MD),Patriot,SO,5,3,25.6,3.4,8.0,.425,2.0,5.0,.400,1.4,3.0,.467,2.0,2.6,.769,0.4,4.0,4.4,3.0,1.0,0.2,2.2,2.6,10.2,,-3.47
2021-22,Loyola (MD),Patriot,JR,30,30,36.9,6.9,14.8,.468,5.0,9.2,.538,2.0,5.6,.353,3.0,3.5,.858,0.5,4.3,4.8,3.2,2.3,0.2,1.3,1.5,18.9,,-7.95
2022-23,Rutgers,Big Ten,SR,34,34,31.5,4.4,9.9,.444,2.3,5.1,.453,2.1,4.9,.434,2.2,2.5,.894,0.7,3.1,3.8,3.1,2.0,0.1,1.4,1.9,13.2,,7.31
2023-24,UConn,Big East,SR,40,40,33.0,4.9,10.1,.484,2.4,4.5,.539,2.5,5.6,.440,2.1,2.3,.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3,,8.70
Career,Overall,,,132,116,32.3,4.9,10.5,.468,2.8,5.5,.516,2.1,5.1,.417,2.2,2.5,.878,0.8,3.6,4.3,3.3,1.6,0.2,1.2,1.9,14.2,,-0.53
