Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,Colorado,Pac-12,FR,24,0,9.3,1.1,2.1,.529,1.0,1.5,.639,0.2,0.6,.267,0.3,0.5,.583,0.3,0.7,1.0,0.3,0.3,0.1,0.6,1.0,2.7,,9.57
2021-22,Colorado,Pac-12,SO,31,31,28.3,3.4,7.0,.479,2.5,4.6,.535,0.9,2.4,.373,1.8,2.2,.797,1.2,2.4,3.5,2.0,0.6,0.5,1.8,2.4,9.4,,6.15
2022-23,Colorado,Pac-12,JR,35,33,30.9,6.0,12.1,.496,4.5,8.2,.545,1.5,3.9,.394,2.3,3.0,.755,1.3,3.5,4.8,1.3,1.3,0.4,2.0,1.9,15.9,,8.39
2023-24,Colorado,Pac-12,SR,34,34,33.8,5.8,11.8,.493,3.9,7.0,.559,1.9,4.8,.395,2.5,3.0,.835,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2.0,16.0,,8.36
Career,Colorado,,,124,98,26.9,4.3,8.8,.493,3.1,5.7,.553,1.2,3.1,.386,1.8,2.3,.786,1.0,2.9,3.8,1.6,0.9,0.4,1.6,1.9,11.7,,8.12
