Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,Illawarra,NBL,au,25,7.9,1.1,3.0,.355,0.3,1.1,.286,0.8,1.9,.396,0.3,0.5,.538,0.3,1.0,1.3,0.7,0.2,0.1,0.6,0.8,2.8
1 Season,,,,25,7.9,1.1,3.0,.355,0.3,1.1,.286,0.8,1.9,.396,0.3,0.5,.538,0.3,1.0,1.3,0.7,0.2,0.1,0.6,0.8,2.8
