Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,,,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College
2020-21,,,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College,Northeastern (CO) Junior College
2021-22,Northern Colorado,Big Sky,JR,35,11,24.1,3.0,6.9,.436,1.6,3.1,.528,1.4,3.8,.361,1.6,2.1,.753,0.5,3.1,3.6,0.9,0.5,0.5,1.5,1.5,8.9,,-3.67
2022-23,Northern Colorado,Big Sky,SR,32,32,35.3,7.3,15.3,.479,4.9,9.0,.547,2.4,6.3,.381,3.2,4.1,.771,0.7,6.5,7.2,1.8,0.8,0.6,2.1,1.5,20.2,,-0.65
2023-24,Tennessee,SEC,SR,36,36,30.6,7.3,16.0,.458,4.8,9.5,.499,2.6,6.5,.397,4.4,5.7,.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,21.7,,10.42
Career,Overall,,,103,79,29.8,5.9,12.7,.461,3.7,7.2,.522,2.1,5.5,.383,3.1,4.0,.768,0.7,4.5,5.2,1.5,0.7,0.6,1.7,1.6,16.9,,2.03
