Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,Cholet,LNB Pro A,fr,3,5.7,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,0.7,1.7,2.3,0.0,0.0,0.0,0.0,0.7,0.0
2023-24,Cholet,LNB Pro A,fr,33,22.7,2.9,7.9,.373,1.4,4.2,.329,1.5,3.6,.425,1.7,2.2,.767,1.4,2.7,4.0,1.0,1.2,0.2,1.5,2.5,9.0
2 Seasons,,,,36,21.3,2.7,7.3,.367,1.3,4.0,.322,1.4,3.4,.421,1.6,2.1,.747,1.3,2.6,3.9,0.9,1.1,0.2,1.4,2.4,8.2
