Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,Houston,AAC,FR,26,2,9.9,1.3,3.0,.455,1.2,2.0,.604,0.1,0.9,.125,0.5,0.6,.750,0.1,1.0,1.1,1.5,0.8,0.2,1.0,0.8,3.3,,5.37
2021-22,Houston,AAC,SO,38,32,31.0,3.7,9.1,.405,2.7,5.9,.462,0.9,3.2,.298,1.7,2.1,.802,0.6,2.4,3.0,5.8,1.6,0.2,2.0,2.4,10.0,,6.47
2022-23,Houston,AAC,JR,37,37,32.6,3.9,9.5,.415,2.7,5.6,.488,1.2,3.9,.310,1.4,1.9,.732,0.5,2.5,3.0,5.4,1.7,0.2,2.1,2.2,10.5,,4.79
2023-24,Houston,Big 12,SR,37,37,31.1,4.8,11.7,.409,3.6,7.9,.456,1.2,3.8,.309,2.2,2.8,.779,0.9,2.8,3.7,6.3,2.2,0.5,2.0,2.0,12.9,,9.80
Career,Houston,,,138,108,27.5,3.6,8.8,.412,2.7,5.6,.476,0.9,3.1,.296,1.5,2.0,.772,0.6,2.3,2.8,5.0,1.6,0.3,1.8,1.9,9.7,,6.61
