Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,Melbourne,NBL,au,27,15.2,2.9,5.4,.527,0.0,0.1,.000,2.9,5.3,.535,1.5,2.1,.719,1.3,3.7,5.0,0.6,0.6,1.4,1.4,2.7,7.2
2023-24,Melbourne,NBL,au,28,18.4,3.2,5.4,.596,0.0,0.0,,3.2,5.4,.596,2.0,3.2,.618,2.4,4.6,7.0,0.7,0.6,1.5,1.7,2.9,8.4
2 Seasons,,,,55,16.8,3.0,5.4,.562,0.0,0.0,.000,3.0,5.4,.566,1.7,2.7,.658,1.9,4.2,6.0,0.7,0.6,1.4,1.5,2.8,7.8
