Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,Dayton,A-10,FR,35,35,30.7,5.2,8.1,.649,5.2,7.9,.662,0.0,0.2,.143,2.3,4.0,.586,1.5,4.5,6.1,1.3,0.4,2.3,1.3,1.6,12.8,,2.41
2022-23,Dayton,A-10,SO,34,34,34.3,6.8,11.5,.590,6.6,10.9,.604,0.2,0.6,.316,4.6,6.9,.669,2.9,5.2,8.1,1.7,0.7,1.9,2.3,2.1,18.4,,1.09
2023-24,Dayton,A-10,JR,33,33,32.5,6.6,12.1,.544,5.6,9.6,.585,1.0,2.5,.386,6.2,8.8,.713,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2.0,20.4,,5.73
Career,Dayton,,,102,102,32.5,6.2,10.5,.588,5.8,9.4,.614,0.4,1.1,.358,4.4,6.5,.671,2.0,5.5,7.5,1.9,0.7,2.1,1.9,1.9,17.1,,3.07
