Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,UCSB,Big West,FR,27,23,32.1,4.1,7.8,.531,3.6,6.0,.593,0.6,1.8,.327,2.7,3.6,.750,0.1,2.1,2.2,3.7,0.8,0.2,1.8,2.9,11.6,,-4.39
2022-23,UCSB,Big West,SO,35,35,33.8,5.6,11.1,.506,5.1,9.0,.564,0.6,2.1,.267,4.5,5.5,.813,0.3,2.4,2.7,5.1,1.3,0.3,2.2,2.0,16.3,,-2.03
2023-24,UCSB,Big West,JR,29,29,31.5,6.7,13.3,.504,5.6,10.4,.535,1.1,2.9,.393,5.4,6.3,.858,0.2,3.8,4.0,4.0,1.2,0.4,2.6,2.6,20.0,,-3.01
Career,UCSB,,,91,87,32.5,5.5,10.8,.511,4.8,8.6,.558,0.8,2.3,.332,4.2,5.2,.818,0.2,2.7,3.0,4.3,1.1,0.3,2.2,2.4,16.1,,-3.15
