Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,South Carolina,SEC,FR,30,7,18.7,3.0,7.1,.420,2.4,5.1,.480,0.5,2.0,.267,2.6,3.7,.688,1.1,2.7,3.8,1.8,0.9,0.3,2.1,1.4,9.0,,8.37
2022-23,Providence,Big East,SO,33,33,32.0,4.3,10.0,.427,3.2,6.5,.498,1.1,3.5,.299,3.4,4.8,.720,1.2,3.7,4.9,2.5,1.8,1.1,1.6,2.1,13.0,,6.55
2023-24,Providence,Big East,JR,33,33,35.3,6.6,14.0,.473,4.1,7.3,.563,2.5,6.8,.377,3.9,5.2,.749,1.0,7.7,8.7,3.6,1.8,1.0,2.7,1.9,19.7,,8.93
Career,Overall,,,96,73,29.0,4.7,10.5,.447,3.3,6.3,.519,1.4,4.2,.338,3.3,4.6,.723,1.1,4.8,5.9,2.7,1.5,0.8,2.1,1.8,14.1,,7.95
