Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2022-23,UConn,Big East,FR,39,0,13.1,2.9,4.4,.655,2.9,4.4,.659,0.0,0.0,.000,1.2,2.2,.517,2.2,3.4,5.6,0.5,0.4,1.8,1.0,1.9,6.9,,8.51
2023-24,UConn,Big East,SO,35,33,22.5,5.3,8.3,.639,5.3,8.1,.650,0.1,0.2,.250,2.3,4.0,.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,13.0,,8.70
Career,UConn,,,74,33,17.6,4.0,6.2,.645,4.0,6.1,.653,0.0,0.1,.222,1.7,3.1,.558,2.3,4.1,6.4,1.0,0.5,2.1,0.9,1.9,9.8,,8.61
