Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,East Carolina,AAC,FR,31,19,29.9,3.3,8.5,.390,2.3,5.2,.432,1.1,3.3,.324,3.3,4.1,.802,0.5,4.0,4.5,3.7,1.2,0.3,1.9,2.0,11.0,,1.82
2020-21,East Carolina,AAC,SO,17,16,31.5,2.9,8.3,.348,1.9,4.7,.413,0.9,3.6,.262,2.0,2.2,.895,1.1,3.2,4.3,4.2,1.2,0.3,2.2,1.9,8.7,,3.83
2021-22,East Carolina,AAC,JR,30,30,34.8,5.5,12.6,.435,3.9,7.8,.498,1.6,4.8,.333,5.1,5.8,.879,0.8,4.0,4.8,5.0,1.4,0.3,3.5,2.4,17.7,,2.66
2022-23,UConn,Big East,SR,39,38,28.8,2.7,7.3,.374,1.6,4.2,.380,1.2,3.2,.366,3.4,4.2,.816,1.2,3.3,4.5,4.7,1.1,0.3,2.4,2.1,10.1,,8.51
2023-24,UConn,Big East,SR,40,40,33.2,4.6,11.0,.415,2.8,5.5,.509,1.8,5.5,.321,4.2,5.2,.808,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,15.1,,8.70
Career,Overall,,,157,143,31.6,3.9,9.6,.402,2.5,5.5,.458,1.4,4.1,.327,3.7,4.5,.831,1.0,4.0,5.1,4.9,1.2,0.3,2.5,2.0,12.8,,5.10
