Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,Texas,Big 12,FR,8,0,6.9,0.8,1.9,.400,0.8,1.4,.545,0.0,0.5,.000,0.3,0.4,.667,0.3,0.9,1.1,0.4,0.5,0.3,0.4,0.8,1.8,,8.87
2022-23,Texas Tech,Big 12,SO,31,31,28.9,4.1,8.5,.483,2.7,5.0,.538,1.4,3.5,.402,1.1,1.5,.723,1.6,4.5,6.1,1.3,1.4,0.4,1.7,1.9,10.7,,8.24
2023-24,California,Pac-12,JR,31,30,34.3,7.2,15.4,.465,5.5,10.9,.509,1.6,4.5,.360,3.6,4.6,.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,19.6,,8.00
Career,Overall,,,70,61,28.7,5.1,10.8,.470,3.7,7.2,.519,1.3,3.6,.372,2.1,2.7,.776,1.5,4.4,5.8,2.2,1.2,0.4,2.2,1.9,13.6,,8.37
