Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,Weber State,Big Sky,FR,23,2,20.5,2.6,4.7,.561,2.4,4.0,.615,0.2,0.7,.250,2.8,3.5,.790,1.1,4.7,5.8,2.0,1.6,0.0,1.8,1.7,8.2,,-5.22
2021-22,Weber State,Big Sky,FR,33,32,33.9,4.4,8.2,.541,3.5,5.7,.622,0.9,2.5,.354,2.9,3.6,.800,1.5,9.1,10.6,2.5,1.8,0.1,2.3,1.8,12.6,,-5.21
2022-23,Weber State,Big Sky,SO,32,31,36.3,5.3,11.5,.462,4.2,7.8,.538,1.1,3.7,.303,4.9,6.0,.813,0.8,10.1,10.9,3.8,1.6,0.1,3.4,2.0,16.7,,-1.33
2023-24,Weber State,Big Sky,JR,31,31,37.0,6.9,14.2,.489,5.8,10.8,.540,1.1,3.4,.324,5.8,6.8,.857,0.8,9.0,9.8,5.2,2.0,0.1,3.0,2.3,20.8,,-4.15
Career,Weber State,,,119,96,32.8,5.0,10.0,.499,4.1,7.3,.565,0.9,2.7,.320,4.2,5.1,.823,1.1,8.5,9.6,3.5,1.7,0.1,2.7,2.0,15.0,,-3.97
