Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,South Dakota State,Summit,FR,32,3,20.2,2.2,5.1,.427,1.6,2.7,.586,0.6,2.4,.247,1.0,1.5,.667,0.8,3.9,4.7,2.2,0.4,0.2,2.0,2.2,6.0,,-4.24
2020-21,South Dakota State,Summit,SO,23,23,35.2,5.2,10.4,.498,2.7,4.7,.569,2.5,5.7,.438,2.6,3.1,.845,0.6,8.7,9.2,4.0,1.0,0.2,2.0,1.2,15.4,,-2.05
2021-22,South Dakota State,Summit,JR,35,35,33.3,5.5,10.9,.508,3.2,5.9,.541,2.4,5.1,.469,2.8,3.5,.802,0.5,7.3,7.8,4.5,1.3,0.1,1.9,2.0,16.2,,-3.77
2022-23,Creighton,Big East,SR,37,37,32.7,4.4,10.3,.424,2.0,3.8,.525,2.4,6.5,.364,1.7,2.0,.840,0.9,7.3,8.3,3.3,1.0,0.2,2.2,2.1,12.8,,9.80
2023-24,Creighton,Big East,SR,35,35,36.8,6.3,14.0,.448,3.1,5.7,.545,3.1,8.3,.381,2.8,3.2,.876,0.7,8.3,9.0,3.9,0.9,0.1,2.2,1.7,18.5,,9.53
Career,Overall,,,162,133,31.6,4.7,10.2,.461,2.5,4.6,.549,2.2,5.6,.390,2.2,2.6,.820,0.7,7.0,7.8,3.6,0.9,0.2,2.1,1.9,13.8,,1.85
