Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,,,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College,Independence (KS) Community College
2021-22,,,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College
2022-23,Missouri State,MVC,JR,30,28,24.4,3.4,5.8,.589,3.4,5.8,.589,0.0,0.0,,1.2,2.7,.432,2.5,4.5,7.0,1.4,1.3,1.1,1.7,2.2,8.0,,-1.00
2023-24,San Francisco,WCC,JR,34,34,28.9,6.1,9.5,.636,6.1,9.5,.640,0.0,0.1,.000,2.1,3.1,.692,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,14.2,,0.23
Career,Overall,,,64,62,26.8,4.8,7.8,.619,4.8,7.8,.622,0.0,0.0,.000,1.7,2.9,.578,2.9,5.7,8.7,2.6,1.4,1.0,1.7,2.4,11.3,,-0.39
