Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,Mega,ABA,,2,7.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,2.0,2.5,.800,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0
2021-22,Mega,ABA,,19,18.6,2.1,5.3,.386,0.6,1.3,.500,1.4,4.1,.351,1.4,1.7,.788,0.6,1.5,2.1,1.9,0.6,0.0,1.8,2.1,6.1
2022-23,Mega,ABA,,22,28.3,4.5,11.0,.412,0.8,3.7,.222,3.7,7.4,.506,3.4,4.9,.701,0.5,2.5,3.0,3.7,1.1,0.1,3.0,2.9,13.3
2023-24,Mega,ABA,,26,30.7,4.9,10.8,.454,1.2,3.7,.330,3.7,7.0,.519,3.4,4.6,.739,0.3,2.4,2.7,3.4,1.0,0.4,3.2,2.7,14.4
4 Seasons,,,,69,25.9,3.9,9.1,.427,0.9,2.9,.305,3.0,6.1,.486,2.8,3.8,.731,0.4,2.1,2.6,3.0,0.9,0.2,2.7,2.6,11.5
