Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,GLI,9,6,24.6,4.6,9.4,.482,0.7,3.0,.222,3.9,6.4,.603,1.1,1.4,.769,0.6,4.4,5.0,1.7,1.1,1.3,1.8,1.4,11.8
Career,,9,6,24.6,4.6,9.4,.482,0.7,3.0,.222,3.9,6.4,.603,1.1,1.4,.769,0.6,4.4,5.0,1.7,1.1,1.3,1.8,1.4,11.8
