Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,ASVEL,EuroLeague,eu,3,9.3,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,1.0,1.3,1.0
2021-22,ASVEL,LNB Pro A,fr,2,2.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-23,ASVEL,EuroLeague,eu,18,13.2,1.3,2.6,.511,0.4,1.0,.389,0.9,1.6,.586,0.2,0.3,.600,0.8,1.0,1.8,0.5,0.6,0.2,0.8,2.2,3.2
2022-23,ASVEL,LNB Pro A,fr,16,12.9,0.9,2.8,.333,0.4,1.5,.292,0.5,1.3,.381,0.3,0.4,.571,0.3,0.9,1.3,0.8,0.5,0.2,0.8,1.6,2.6
2023-24,Bourg,EuroCup,eu,17,24.0,4.8,8.5,.566,1.9,3.4,.561,2.9,5.2,.568,1.6,2.4,.659,1.0,2.6,3.6,1.1,0.8,0.4,1.7,2.6,13.1
2023-24,Bourg,LNB Pro A,fr,32,22.0,3.3,7.5,.439,1.2,3.4,.352,2.1,4.1,.511,2.3,3.1,.740,1.2,2.6,3.8,0.9,0.8,0.3,1.3,2.4,10.1
3 Seasons,,,,88,18.0,2.6,5.5,.476,1.0,2.4,.407,1.6,3.1,.529,1.2,1.7,.706,0.9,1.9,2.7,0.8,0.7,0.3,1.1,2.1,7.4
