Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,Colorado,Pac-12,FR,32,1,21.3,2.4,6.4,.377,1.9,4.3,.438,0.5,2.1,.254,2.1,2.7,.770,0.4,2.2,2.5,2.7,0.8,0.1,2.2,1.4,7.4,,6.15
2022-23,Colorado,Pac-12,SO,29,28,31.8,5.4,13.8,.396,4.2,9.1,.457,1.3,4.6,.276,3.7,4.5,.817,0.8,3.5,4.3,3.8,1.5,0.2,2.6,1.9,15.9,,8.39
2023-24,Colorado,Pac-12,JR,37,37,35.1,6.6,13.8,.475,4.4,8.9,.497,2.1,4.9,.434,4.4,5.0,.876,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,19.7,,8.36
Career,Colorado,,,98,66,29.6,4.9,11.4,.429,3.5,7.5,.471,1.4,3.9,.347,3.4,4.1,.834,0.6,3.7,4.3,3.9,1.3,0.1,2.3,2.0,14.6,,7.64
