Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,GLI,15,14,30.3,7.3,15.5,.474,0.7,3.1,.239,6.6,12.4,.532,2.0,2.9,.682,1.6,5.1,6.7,2.8,2.1,1.1,3.5,3.1,18.5
Career,,15,14,30.3,7.3,15.5,.474,0.7,3.1,.239,6.6,12.4,.532,2.0,2.9,.682,1.6,5.1,6.7,2.8,2.1,1.1,3.5,3.1,18.5
