Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Texas Tech,Big 12,FR,29,21,23.5,3.2,6.9,.470,2.9,5.7,.515,0.3,1.2,.257,3.0,3.6,.829,1.1,3.1,4.1,1.0,0.9,0.4,1.3,2.3,9.8,,8.41
2020-21,Texas Tech,Big 12,SO,28,13,26.7,4.3,9.6,.448,3.2,6.6,.489,1.1,3.0,.357,3.2,4.3,.756,1.1,2.8,4.0,1.4,1.1,0.1,1.4,1.8,12.9,,7.28
2021-22,Texas Tech,Big 12,JR,26,20,25.0,3.5,7.6,.455,2.2,4.3,.509,1.3,3.3,.384,2.2,2.8,.784,0.5,2.1,2.6,2.0,0.8,0.2,2.0,1.6,10.4,,8.65
2022-23,Illinois,Big Ten,SR,31,30,32.1,5.1,11.6,.442,3.5,6.6,.534,1.6,5.0,.321,5.4,6.8,.790,1.2,3.4,4.6,2.8,1.3,0.5,2.6,2.4,17.2,,7.65
2023-24,Illinois,Big Ten,SR,32,31,33.9,6.8,14.4,.475,4.4,7.8,.573,2.4,6.7,.362,6.9,8.6,.801,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,23.0,,9.54
Career,Overall,,,146,115,28.5,4.7,10.2,.459,3.3,6.3,.529,1.4,3.9,.347,4.3,5.4,.793,1.0,3.0,3.9,1.9,1.0,0.4,1.8,2.1,15.0,,8.30
