Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2021-22,Stanford,Pac-12,FR,32,30,31.1,3.7,9.6,.388,2.6,6.0,.432,1.1,3.6,.313,2.0,3.0,.663,1.8,4.9,6.7,3.0,0.9,0.3,2.3,1.7,10.5,,8.59
2022-23,Stanford,Pac-12,SO,33,32,27.9,3.8,9.2,.408,2.7,5.8,.461,1.1,3.4,.319,1.8,3.1,.598,1.8,4.0,5.8,3.7,0.8,0.5,2.3,1.9,10.5,,7.67
2023-24,UNC,ACC,SO,37,36,32.8,4.4,10.2,.430,2.6,5.7,.467,1.8,4.6,.385,1.6,2.6,.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2,,9.90
Career,Overall,,,102,98,30.7,4.0,9.7,.410,2.6,5.8,.454,1.3,3.9,.345,1.8,2.9,.624,2.1,5.1,7.2,2.9,1.0,0.4,1.9,1.8,11.1,,8.72
