Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,Perth,NBL,au,24,17.2,3.7,7.1,.520,0.6,2.0,.298,3.1,5.2,.605,1.7,2.3,.714,1.4,3.0,4.4,0.9,0.5,1.3,1.1,1.4,9.7
1 Season,,,,24,17.2,3.7,7.1,.520,0.6,2.0,.298,3.1,5.2,.605,1.7,2.3,.714,1.4,3.0,4.4,0.9,0.5,1.3,1.1,1.4,9.7
