Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,Saint-Quentin BB,LNB Pro A,fr,28,24.6,3.0,8.0,.375,1.6,5.3,.309,1.4,2.7,.507,1.7,2.1,.797,1.0,2.3,3.3,0.8,0.5,0.0,0.6,2.2,9.3
1 Season,,,,28,24.6,3.0,8.0,.375,1.6,5.3,.309,1.4,2.7,.507,1.7,2.1,.797,1.0,2.3,3.3,0.8,0.5,0.0,0.6,2.2,9.3
