Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,Real Madrid,EuroLeague,eu,9,4.7,0.6,1.7,.333,0.2,0.3,.667,0.3,1.3,.250,0.0,0.0,,0.0,0.2,0.2,0.6,0.3,0.0,0.7,0.9,1.3
2021-22,Real Madrid,Liga ACB,es,15,5.7,0.2,1.2,.167,0.0,0.3,.000,0.2,0.9,.214,0.3,0.5,.571,0.0,0.5,0.5,0.5,0.1,0.0,0.9,0.5,0.7
2022-23,Ulm,EuroCup,eu,18,20.4,2.7,6.3,.425,0.6,1.8,.333,2.1,4.4,.463,1.2,1.9,.600,0.7,2.6,3.3,4.6,1.2,0.0,2.9,1.7,7.1
2023,Spain ◉,FIBA,,3,21.7,2.3,3.7,.636,1.0,2.0,.500,1.3,1.7,.800,1.3,2.3,.571,0.3,4.3,4.7,6.3,0.7,0.0,2.0,1.0,7.0
2023-24,Ulm,EuroCup,eu,14,25.9,3.9,7.8,.505,0.9,2.6,.361,3.0,5.2,.575,1.6,2.9,.537,1.0,2.8,3.8,5.8,1.9,0.1,2.9,2.1,10.4
3 Seasons,,,,59,15.6,2.0,4.5,.444,0.5,1.4,.354,1.5,3.1,.484,0.9,1.5,.567,0.5,1.8,2.3,3.3,0.9,0.0,2.0,1.3,5.4
