Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,Purdue,Big Ten,FR,28,2,14.7,3.2,5.3,.597,3.2,5.3,.597,0.0,0.0,,2.3,3.3,.714,1.7,2.7,4.4,0.4,0.1,1.1,1.4,2.3,8.7,,11.23
2021-22,Purdue,Big Ten,SO,37,33,19.0,5.7,8.8,.648,5.7,8.8,.648,0.0,0.0,,3.1,4.7,.649,3.2,4.5,7.7,1.2,0.2,1.2,1.7,2.0,14.4,,8.23
2022-23,Purdue,Big Ten,JR,34,34,31.7,8.5,14.1,.607,8.5,14.1,.607,0.0,0.0,,5.2,7.1,.734,5.5,7.4,12.9,1.5,0.2,2.1,2.3,1.6,22.3,,8.31
2023-24,Purdue,Big Ten,SR,39,39,32.0,8.6,13.8,.623,8.6,13.8,.624,0.0,0.1,.500,7.9,11.2,.711,4.6,7.5,12.2,2.0,0.3,2.2,2.3,1.9,25.2,,11.60
Career,Purdue,,,138,108,24.9,6.7,10.8,.621,6.7,10.8,.621,0.0,0.0,.500,4.8,6.8,.706,3.9,5.7,9.6,1.3,0.2,1.7,1.9,2.0,18.2,,9.84
