Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Mississippi State,SEC,FR,8,0,2.6,0.4,1,0.375,0.3,0.6,0.4,0.1,0.4,0.333,0.3,0.3,1,0.4,1.1,1.5,0.1,0,0.1,0.4,0.5,1.1,,6.96
2020-21,Mississippi State,SEC,SO,31,0,8.7,1.1,2.6,0.415,0.8,1.4,0.571,0.3,1.3,0.25,0.3,0.5,0.571,0.7,1.3,2.1,0.4,0.3,0.5,0.8,1.2,2.8,,6.79
2021-22,Boston College,ACC,JR,31,11,21.4,3.7,7.5,0.502,3.4,6.4,0.528,0.4,1,0.344,1.6,2.2,0.721,2.1,3.3,5.4,0.7,0.6,1,1.6,2.6,9.4,,5.22
2022-23,Boston College,ACC,SR,19,13,25.7,5.8,10.7,0.539,4.6,7.9,0.58,1.2,2.8,0.426,2.3,2.6,0.86,1.5,4.2,5.6,1.5,0.2,0.9,2.1,2.4,15.1,,4.73
2023-24,Boston College,ACC,SR,35,35,31.9,6.3,12.3,0.514,4.9,9,0.544,1.4,3.3,0.431,2.9,3.5,0.821,2,6.1,8.1,2.9,0.9,1.7,2.5,2.9,17,,7.25
Career,Overall,,,124,59,20.6,3.9,7.7,0.507,3.1,5.7,0.548,0.8,2,0.388,1.6,2.1,0.79,1.5,3.6,5.1,1.3,0.5,1,1.6,2.2,10.2,,6.19
