Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Texas Tech,Big 12,FR,29,6,18.6,2.2,4.4,.512,2.0,3.4,.576,0.3,1.0,.286,1.3,1.8,.725,1.0,2.2,3.2,0.7,1.2,0.3,1.3,2.2,6.0,,8.41
2020-21,Texas Tech,Big 12,SO,20,19,30.4,3.6,8.7,.416,3.0,6.4,.465,0.7,2.3,.283,2.5,3.6,.704,1.5,4.8,6.3,2.1,1.7,0.8,1.5,3.0,10.4,,7.28
2021-22,Texas Tech,Big 12,JR,29,24,29.9,3.4,8.6,.402,2.5,5.5,.453,1.0,3.1,.311,2.3,3.1,.725,0.9,3.7,4.6,3.1,1.4,0.2,2.0,2.7,10.1,,8.65
2022-23,Kansas,Big 12,SR,34,33,30.6,3.6,8.1,.444,2.8,5.3,.525,0.9,2.9,.296,2.6,3.4,.761,1.2,5.8,7.0,2.4,2.0,0.7,2.1,3.0,10.7,,11.84
2023-24,Kansas,Big 12,SR,26,26,34.2,6.1,13.5,.454,4.6,9.0,.515,1.5,4.5,.333,4.6,5.7,.805,0.8,5.2,6.0,4.1,1.5,0.4,2.5,1.9,18.3,,11.32
Career,Overall,,,138,108,28.6,3.8,8.5,.441,2.9,5.8,.504,0.8,2.7,.309,2.6,3.5,.756,1.1,4.3,5.4,2.4,1.6,0.5,1.9,2.6,11.0,,9.50
