Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,George Mason,A-10,FR,22,18,30.7,3.6,9.0,.399,1.2,2.3,.520,2.4,6.7,.358,1.2,1.5,.794,0.3,3.3,3.6,2.3,1.3,0.1,1.5,1.8,10.8,,0.48
2021-22,Marquette,Big East,FR,32,32,29.3,2.3,7.0,.320,1.1,3.0,.371,1.1,4.0,.281,1.1,1.3,.810,0.5,3.2,3.7,5.9,1.4,0.1,2.5,1.9,6.7,,8.96
2022-23,Marquette,Big East,JR,36,36,32.3,4.6,9.7,.471,3.3,6.4,.509,1.3,3.3,.398,2.5,3.1,.802,0.8,3.4,4.1,7.5,1.8,0.1,2.5,1.9,12.9,,8.01
2023-24,Marquette,Big East,SR,31,31,33.0,5.6,11.3,.496,4.1,7.4,.552,1.5,3.9,.388,2.6,3.0,.851,0.7,4.2,4.9,7.7,1.6,0.2,2.9,1.0,15.3,,11.02
Career,Overall,,,121,117,31.4,4.0,9.3,.436,2.5,5.0,.504,1.5,4.3,.355,1.9,2.3,.819,0.6,3.5,4.1,6.2,1.5,0.1,2.4,1.7,11.5,,7.12
