Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,GLI,16,0,22.5,5.3,11.1,.478,1.2,3.4,.352,4.1,7.8,.532,1.4,1.9,.742,1.9,3.3,5.2,1.7,1.0,0.8,1.4,2.6,14.3
Career,,16,0,22.5,5.3,11.1,.478,1.2,3.4,.352,4.1,7.8,.532,1.4,1.9,.742,1.9,3.3,5.2,1.7,1.0,0.8,1.4,2.6,14.3
