Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2020-21,Utah,Pac-12,FR,25,18,26.6,2.5,5.4,.467,1.5,3.2,.469,1.0,2.2,.463,2.1,2.4,.883,0.4,2.8,3.2,2.8,0.7,0.5,2.7,2.6,8.2,,9.54
2021-22,Arizona,Pac-12,SO,37,2,20.7,2.3,4.9,.478,1.4,2.4,.596,0.9,2.5,.363,1.6,2.0,.813,0.8,2.6,3.4,1.8,0.8,0.2,1.5,2.5,7.2,,6.84
2022-23,Arizona,Pac-12,JR,35,18,27.4,2.9,6.2,.472,2.1,3.7,.550,0.9,2.5,.356,3.2,3.8,.835,0.9,3.4,4.3,3.1,0.8,0.2,1.7,2.3,9.9,,8.34
2023-24,Arizona,Pac-12,SR,36,36,30.1,4.5,8.7,.519,3.3,5.7,.568,1.3,3.0,.426,2.4,3.2,.750,1.1,3.0,4.1,3.7,0.9,0.2,1.9,2.6,12.8,,9.45
Career,Overall,,,133,74,26.1,3.1,6.4,.490,2.1,3.8,.552,1.0,2.6,.397,2.3,2.9,.813,0.8,3.0,3.8,2.8,0.8,0.3,1.9,2.5,9.6,,8.54
