Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Akron,MAC,FR,7,0,1.9,0.1,0.1,1.000,0.1,0.1,1.000,0.0,0.0,,0.4,0.6,.750,0.1,0.4,0.6,0.0,0.0,0.1,0.0,0.1,0.7,,-0.40
2020-21,Akron,MAC,SO,23,20,22.3,3.3,4.5,.740,3.3,4.5,.740,0.0,0.0,,1.2,1.8,.659,2.8,6.3,9.2,0.3,0.5,1.9,1.5,2.5,7.9,,-1.96
2021-22,Akron,MAC,SO,34,34,28.8,5.1,7.7,.665,5.1,7.6,.673,0.0,0.1,.000,2.9,4.5,.649,3.3,7.5,10.8,1.4,0.5,1.1,1.9,2.9,13.2,,-3.93
2022-23,Akron,MAC,JR,33,33,31.2,6.7,10.8,.616,6.6,10.7,.619,0.0,0.1,.333,3.5,5.6,.616,3.2,8.0,11.2,1.9,0.6,1.2,2.1,2.2,16.8,,-1.65
2023-24,Akron,MAC,SR,35,35,32.5,6.7,11.4,.584,6.1,9.9,.617,0.6,1.5,.370,4.7,6.5,.728,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,18.6,,-2.08
Career,Akron,,,132,122,27.8,5.3,8.5,.628,5.2,8.1,.644,0.2,0.5,.350,3.1,4.6,.670,3.1,7.6,10.6,1.3,0.6,1.4,1.9,2.5,14.0,,-2.00
