Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2019-20,Gonzaga,WCC,FR,15,5,14.7,1.9,3.5,.538,1.8,2.9,.628,0.1,0.6,.111,1.1,1.9,.571,1.0,2.1,3.1,1.5,1.2,0.5,0.8,1.5,4.9,,3.13
2020-21,Gonzaga,WCC,SO,32,17,18.9,2.8,4.4,.631,2.7,3.8,.711,0.1,0.6,.150,1.2,1.9,.650,0.9,2.4,3.3,1.2,1.2,0.6,0.9,2.3,6.9,,5.92
2021-22,Gonzaga,WCC,JR,32,0,18.1,2.7,4.9,.538,2.5,4.3,.588,0.2,0.7,.227,1.9,2.7,.698,1.4,3.3,4.7,1.9,1.3,0.3,1.1,1.9,7.3,,4.50
2022-23,Gonzaga,WCC,SR,37,37,29.1,4.5,7.4,.608,4.1,6.1,.667,0.4,1.3,.333,1.7,3.1,.548,2.4,3.8,6.2,2.4,1.8,0.7,1.2,2.9,11.1,,8.04
2023-24,Gonzaga,WCC,SR,35,35,31.3,5.8,10.0,.578,5.2,8.6,.607,0.6,1.5,.412,2.3,3.5,.653,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,14.5,,4.02
Career,Gonzaga,,,151,94,23.7,3.8,6.5,.586,3.5,5.5,.636,0.3,1.0,.307,1.7,2.7,.627,1.7,3.5,5.2,2.0,1.4,0.6,1.1,2.3,9.6,,5.12
