Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,Crvena zvezda,EuroLeague,eu,1,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Crvena zvezda,ABA,,2,11.5,0.5,2.5,.200,0.0,1.0,.000,0.5,1.5,.333,1.0,1.0,1.000,0.5,0.5,1.0,3.0,1.5,0.0,3.5,3.0,2.0
2022-23,Crvena zvezda,EuroLeague,eu,2,4.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
2022-23,Crvena zvezda,ABA,,7,8.0,1.4,2.3,.625,0.1,0.6,.250,1.3,1.7,.750,0.4,0.4,1.000,0.1,0.9,1.0,0.7,0.3,0.0,0.4,1.4,3.4
2023-24,Mega,ABA,,12,33.8,6.7,12.8,.523,1.2,4.5,.259,5.5,8.3,.667,3.9,4.6,.855,0.8,2.8,3.6,7.1,1.0,0.2,3.2,3.8,18.4
2023-24,Crvena zvezda,ABA,,2,31.0,4.5,11.5,.391,1.5,5.0,.300,3.0,6.5,.462,4.0,4.5,.889,0.0,4.0,4.0,5.0,0.0,0.5,2.5,2.0,14.5
2023-24,Crvena zvezda,EuroLeague,eu,2,15.5,1.5,4.0,.375,0.0,1.0,.000,1.5,3.0,.500,0.5,0.5,1.000,1.0,0.5,1.5,3.5,0.5,0.0,1.0,2.0,3.5
3 Seasons,,,,28,21.0,3.7,7.4,.495,0.6,2.6,.247,3.0,4.8,.630,2.2,2.5,.871,0.5,1.8,2.3,4.1,0.6,0.1,2.0,2.5,10.2
