Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2008-09,Weber State,Big Sky,FR,31,26,29.4,3.8,8.8,.434,2.3,4.6,.490,1.6,4.2,.374,2.2,2.6,.841,0.3,3.6,3.9,2.9,1.1,0.2,2.3,2.5,11.5,,-2.39
2009-10,Weber State,Big Sky,SO,31,31,34.3,6.0,13.8,.431,3.3,6.9,.470,2.7,6.9,.393,5.3,6.2,.853,0.4,3.7,4.0,3.6,1.1,0.1,2.4,1.9,19.9,,-1.04
2010-11,Weber State,Big Sky,JR,10,9,28.5,4.9,11.2,.438,3.0,5.7,.526,1.9,5.5,.345,6.0,7.0,.857,0.6,3.2,3.8,3.3,1.4,0.2,2.8,2.3,17.7,,-1.74
2011-12,Weber State,Big Sky,SR,32,32,34.5,7.2,15.5,.467,4.3,8.3,.517,2.9,7.2,.409,7.1,8.0,.887,0.5,4.5,5.0,4.0,1.5,0.2,2.3,1.9,24.5,,-3.65
Career,Weber State,,,104,98,32.3,5.6,12.6,.446,3.3,6.5,.497,2.4,6.1,.390,5.0,5.8,.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,,-2.21
