Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2007-08,Oklahoma,Big 12,FR,33,28,28.4,5.6,9.8,.568,5.6,9.8,.571,0.0,0.1,.000,3.5,6.0,.589,3.3,5.8,9.1,1.8,1.0,0.8,2.3,2.5,14.7,,7.85
2008-09,Oklahoma,Big 12,SO,35,35,33.3,8.6,13.1,.654,8.5,12.9,.659,0.1,0.2,.375,5.5,9.3,.590,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,,6.88
Career,Oklahoma,,,68,63,30.9,7.1,11.5,.618,7.1,11.4,.622,0.0,0.1,.300,4.5,7.7,.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,,7.37
