Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2002-03,Washington,Pac-10,FR,13,2,17.2,2.3,4.6,.500,2.2,3.8,.580,0.1,0.8,.100,1.4,2.8,.486,1.2,1.7,2.9,1.0,0.3,0.2,1.4,1.2,6.1,,7.28
2003-04,Washington,Pac-10,SO,31,31,30.3,4.6,9.7,.480,4.5,8.8,.505,0.2,0.9,.222,3.4,4.4,.785,1.5,3.8,5.3,3.3,1.2,0.4,2.7,2.4,12.9,,6.42
2004-05,Washington,Pac-10,JR,26,5,24.2,5.0,8.9,.565,4.8,8.2,.585,0.3,0.8,.350,2.4,3.3,.741,2.1,2.9,5.0,2.2,0.6,0.3,1.5,1.9,12.8,,7.65
2005-06,Washington,Pac-10,SR,33,33,31.7,6.9,13.6,.508,5.7,10.7,.537,1.2,2.9,.402,5.2,6.4,.810,2.1,3.5,5.6,4.1,1.4,0.8,2.3,2.5,20.2,,5.96
Career,Washington,,,103,71,27.5,5.2,10.1,.512,4.7,8.6,.541,0.5,1.5,.344,3.5,4.5,.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,,6.83
