Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2011-12,Virginia,ACC,FR,28,1,22.4,2.3,5.7,.396,1.5,3.3,.451,0.8,2.4,.324,1.4,1.8,.800,0.5,2.3,2.8,1.4,0.5,0.1,1.6,1.4,6.7,,4.23
2013-14,Virginia,ACC,SO,37,37,31.4,4.1,9.8,.413,2.9,6.6,.434,1.2,3.2,.370,3.4,3.9,.875,0.9,4.5,5.4,2.7,1.2,0.1,1.4,1.9,12.7,,7.86
2014-15,Virginia,ACC,JR,34,34,32.5,4.6,11.0,.422,3.4,7.2,.463,1.3,3.8,.344,3.4,3.9,.879,0.5,3.5,3.9,2.4,0.7,0.4,1.7,1.9,14.0,,7.81
2015-16,Virginia,ACC,SR,37,37,34.1,6.2,13.6,.457,4.2,8.4,.498,2.0,5.2,.391,3.8,4.2,.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,,11.12
Career,Virginia,,,136,109,30.6,4.4,10.3,.430,3.1,6.6,.466,1.4,3.7,.365,3.1,3.5,.876,0.6,3.5,4.1,2.5,0.9,0.2,1.5,1.8,13.3,,7.76
