Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
1995-96,UNC,ACC,FR,31,19,17.9,2.9,6.0,.492,2.3,4.2,.554,0.6,1.8,.345,1.0,1.5,.689,,,3.8,1.3,0.6,0.6,1.2,1.8,7.5,,11.42
1996-97,UNC,ACC,SO,34,29,27.6,4.9,9.3,.525,3.8,6.1,.622,1.1,3.1,.336,2.2,2.9,.750,,,4.5,2.4,1.4,0.8,1.4,2.1,13.0,,12.00
1997-98,UNC,ACC,JR,38,32,31.2,5.9,10.0,.591,4.7,7.2,.662,1.2,2.8,.411,2.6,3.9,.680,,,5.1,1.9,1.2,0.9,1.1,1.6,15.6,,10.38
Career,UNC,,,103,80,26.0,4.7,8.5,.547,3.7,5.9,.625,1.0,2.6,.368,2.0,2.8,.705,,,4.5,1.9,1.1,0.8,1.2,1.8,12.3,,11.27
