Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
1991-92,Arizona,Pac-10,FR,30,0,18.0,2.5,5.6,.455,1.6,3.3,.490,0.9,2.3,.406,1.2,1.6,.771,,,2.2,2.5,0.7,0.1,1.5,1.4,7.2,,8.19
1992-93,Arizona,Pac-10,SO,28,27,31.1,3.5,8.1,.438,2.1,4.4,.484,1.4,3.6,.382,2.6,3.3,.791,,,4.1,5.7,1.6,0.2,2.9,2.2,11.0,,8.28
1993-94,Arizona,Pac-10,JR,35,35,33.3,6.2,13.8,.448,3.5,6.3,.566,2.7,7.6,.351,3.2,4.0,.800,,,4.5,5.9,1.6,0.1,3.2,2.3,18.3,,8.90
1994-95,Arizona,Pac-10,SR,30,30,36.4,7.4,15.5,.476,3.7,7.5,.489,3.7,8.0,.465,4.3,5.2,.826,,,4.3,7.3,1.7,0.0,4.6,2.0,22.8,,10.35
Career,Arizona,,,123,92,29.8,5.0,10.9,.457,2.8,5.4,.514,2.2,5.5,.402,2.8,3.5,.804,,,3.8,5.4,1.4,0.1,3.1,2.0,15.0,,8.93
