Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2011-12,Syracuse,Big East,FR,26,0,10.3,1.0,2.2,.431,0.7,1.5,.450,0.3,0.7,.389,0.5,0.9,.565,0.3,1.1,1.5,2.1,0.8,0.3,0.6,1.0,2.7,,8.02
2012-13,Syracuse,Big East,SO,40,40,35.2,3.9,9.9,.393,3.0,6.9,.436,0.9,3.0,.294,3.2,4.7,.694,1.3,3.7,5.0,7.3,2.7,0.5,3.5,2.3,11.9,,8.57
Career,Syracuse,,,66,40,25.4,2.7,6.8,.398,2.1,4.8,.438,0.6,2.1,.307,2.2,3.2,.679,0.9,2.7,3.6,5.2,2.0,0.4,2.3,1.8,8.2,,8.29
