Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2017-18,Murray State,OVC,FR,32,32,34.0,4.2,9.1,.459,3.3,6.3,.525,0.8,2.8,.307,3.5,4.3,.806,1.7,4.8,6.5,6.3,0.9,0.4,2.5,2.0,12.7,,-3.53
2018-19,Murray State,OVC,SO,33,33,36.6,8.0,16.1,.499,6.3,11.3,.556,1.7,4.8,.363,6.7,8.2,.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,,-3.11
Career,Murray State,,,65,65,35.3,6.1,12.6,.485,4.8,8.9,.545,1.3,3.8,.343,5.1,6.3,.810,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,,-3.32
