Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,Nanterre,LNB Pro A,fr,18,16.9,2.6,5.9,.443,0.9,2.4,.364,1.7,3.4,.500,0.7,1.1,.684,1.3,3.4,4.7,0.8,0.2,1.9,0.9,1.8,6.8
2021-22,ASVEL,LNB Pro A,fr,16,18.4,3.9,8.2,.473,0.8,3.1,.260,3.1,5.1,.605,0.9,1.3,.700,1.1,4.1,5.1,0.8,0.9,1.8,1.8,2.5,9.4
2022-23,Paris,LNB Pro A,fr,34,32.1,7.5,15.9,.470,1.4,5.0,.275,6.1,10.9,.561,5.2,6.3,.828,2.0,8.4,10.4,2.4,0.7,3.0,2.6,2.0,21.6
3 Seasons,,,,68,24.9,5.4,11.5,.467,1.1,3.9,.287,4.2,7.6,.560,3.0,3.7,.807,1.6,6.1,7.7,1.6,0.6,2.4,2.0,2.1,14.8
