Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
1993-94,Wake Forest,ACC,FR,33,32,30.2,3.6,6.7,.545,3.6,6.6,.543,0.0,0.0,1.000,2.5,3.3,.745,,,9.6,0.9,0.4,3.8,1.2,2.5,9.8,,7.89
1994-95,Wake Forest,ACC,SO,32,32,36.5,6.5,11.0,.591,6.4,10.8,.594,0.1,0.2,.429,3.7,5.0,.742,,,12.5,2.1,0.4,4.2,2.8,2.4,16.8,,10.91
1995-96,Wake Forest,ACC,JR,32,32,37.2,7.1,12.8,.555,6.9,12.1,.570,0.2,0.7,.304,4.7,6.8,.687,,,12.3,2.9,0.7,3.8,3.3,2.3,19.1,,10.72
1996-97,Wake Forest,ACC,SR,31,31,36.7,7.5,12.4,.608,7.4,11.7,.628,0.2,0.7,.273,5.5,8.7,.636,,,14.7,3.2,0.7,3.3,3.2,2.2,20.8,,10.27
Career,Wake Forest,,,128,127,35.1,6.2,10.7,.577,6.0,10.3,.588,0.1,0.4,.321,4.1,5.9,.689,,,12.3,2.3,0.5,3.8,2.6,2.4,16.5,,9.95
