Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
1998-99,Florida,SEC,FR,28,19,24.2,4.1,8.3,.494,3.0,5.2,.575,1.1,3.1,.356,2.9,4.1,.702,,,5.2,2.1,1.3,0.3,2.5,1.9,12.2,,5.70
1999-00,Florida,SEC,SO,37,37,28.6,4.7,9.9,.476,3.5,6.2,.559,1.3,3.8,.338,3.4,4.6,.729,2.2,4.4,6.6,2.5,1.2,0.4,1.9,1.9,14.1,,8.51
Career,Florida,,,65,56,26.7,4.5,9.2,.483,3.3,5.8,.565,1.2,3.5,.345,3.1,4.4,.718,,,6.0,2.3,1.2,0.3,2.2,1.9,13.3,,7.10
