Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2001-02,UConn,Big East,FR,34,34,30.0,3.1,5.2,.590,3.1,5.2,.590,0.0,0.0,,1.7,2.7,.620,2.6,6.4,9.0,0.8,0.8,4.1,1.4,2.6,7.9,,7.59
2002-03,UConn,Big East,SO,33,33,32.9,6.7,11.5,.580,6.7,11.5,.580,0.0,0.0,,2.5,4.2,.599,3.8,7.4,11.2,0.5,0.9,4.7,2.3,3.0,15.9,,7.63
2003-04,UConn,Big East,JR,36,36,32.4,7.3,12.1,.599,7.3,12.1,.599,0.0,0.0,,3.1,6.1,.518,3.8,7.7,11.5,1.0,1.0,4.1,2.3,2.4,17.6,,7.77
Career,UConn,,,103,103,31.8,5.7,9.7,.590,5.7,9.7,.590,0.0,0.0,,2.4,4.3,.564,3.4,7.2,10.6,0.8,0.9,4.3,2.0,2.6,13.8,,7.66
