Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
2003-04,Wake Forest,ACC,FR,31,31,33.6,4.4,8.8,.496,3.1,6.0,.511,1.3,2.8,.465,4.8,5.7,.843,0.7,2.6,3.3,5.9,2.7,0.4,2.6,2.6,14.8,,11.03
2004-05,Wake Forest,ACC,SO,32,31,33.4,4.5,9.9,.451,3.0,6.9,.441,1.4,3.0,.474,4.9,5.8,.834,0.7,3.8,4.5,6.6,2.4,0.0,2.8,2.6,15.3,,10.27
Career,Wake Forest,,,63,62,33.5,4.4,9.3,.472,3.0,6.4,.473,1.4,2.9,.470,4.9,5.8,.838,0.7,3.2,3.9,6.3,2.5,0.2,2.7,2.6,15.0,,10.65
