Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
1997-98,Duke,ACC,FR,21,18,23.5,4.8,8.0,.592,4.8,8.0,.592,0.0,0.0,,3.9,6.4,.604,3.6,3.7,7.3,0.5,1.5,1.3,1.6,2.5,13.4,,9.32
1998-99,Duke,ACC,SO,39,37,29.3,6.5,10.5,.620,6.5,10.5,.620,0.0,0.0,,4.6,6.6,.707,,,9.8,1.1,1.3,2.2,1.7,2.5,17.7,,10.12
Career,Duke,,,60,55,27.3,5.9,9.7,.612,5.9,9.7,.612,0.0,0.0,,4.4,6.5,.672,,,8.9,0.9,1.4,1.9,1.7,2.5,16.2,,9.72
