Season,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,Illawarra Hawks,NBL Australia,au,12,31.3,6.3,16.7,0.375,1.7,6.7,0.25,4.6,10,0.458,2.8,3.9,0.723,1.9,5.7,7.6,6.8,1.6,0.1,2.5,2.6,17
1 Season,,,,12,31.3,6.3,16.7,0.375,1.7,6.7,0.25,4.6,10,0.458,2.8,3.9,0.723,1.9,5.7,7.6,6.8,1.6,0.1,2.5,2.6,17
